Access URL;Time To Process(ms);Has JSON Errors;Expected Classes;actual_classes;actual_classes_instances;classes_inc_tr_cnt;Expected Properties;actual_properties;actual_prop_triples;actual_prop_data_triples;Expected Triples;Output File;API Call Query;ERROR MSG
https://api.druid.datalegend.net/datasets/IISG-DA/Collectie-Interviews-Wim-Kok-deel-2/sparql;2750;True;0;0;0;0;6;6;9774;8145;9774;https_api_druid_datalegend_net_datasets_IISG-DA_Collectie-Interviews-Wim-Kok-deel-2_sparql;http://localhost:8080/schema-extractor-rest/v2/endpoint/buildFullSchema?calculateSubClassRelations=True&calculateMultipleInheritanceSuperclasses=True&calculatePropertyPropertyRelations=True&calculateSourceAndTargetPairs=True&calculateDomainsAndRanges=True&calculateImportanceIndexes=True&calculateClosedClassSets=False&calculateCardinalitiesMode=propertyLevelOnly&calculateDataTypes=propertyLevelOnly&sampleLimitForDataTypeCalculation=100000&checkInstanceNamespaces=False&addedLabels=rdfs%3Alabel&minimalAnalyzedClassSize=1&addIntersectionClasses=no&exactCountCalculations=no&excludedNamespaces=http%3A%2F%2Fwww.openlinksw.com%2Fschemas%2Fvirtrdf%23&maxInstanceLimitForExactCount=10000000&enableLogging=True&saveThisConfig=True&endpointUrl=https://api.druid.datalegend.net/datasets/IISG-DA/Collectie-Interviews-Wim-Kok-deel-2/sparql;NULL
https://lipidmaps.org/sparql;28530;True;1;1;48550;0;10;10;457871;325768;457751;https_lipidmaps_org_sparql;http://localhost:8080/schema-extractor-rest/v2/endpoint/buildFullSchema?calculateSubClassRelations=True&calculateMultipleInheritanceSuperclasses=True&calculatePropertyPropertyRelations=True&calculateSourceAndTargetPairs=True&calculateDomainsAndRanges=True&calculateImportanceIndexes=True&calculateClosedClassSets=False&calculateCardinalitiesMode=propertyLevelOnly&calculateDataTypes=propertyLevelOnly&sampleLimitForDataTypeCalculation=100000&checkInstanceNamespaces=False&addedLabels=rdfs%3Alabel&minimalAnalyzedClassSize=1&addIntersectionClasses=no&exactCountCalculations=no&excludedNamespaces=http%3A%2F%2Fwww.openlinksw.com%2Fschemas%2Fvirtrdf%23&maxInstanceLimitForExactCount=10000000&enableLogging=True&saveThisConfig=True&endpointUrl=https://lipidmaps.org/sparql;NULL
https://api.druid.datalegend.net/datasets/IISG/Images/sparql;8230;True;1;1;17385;0;13;13;235847;140682;235847;https_api_druid_datalegend_net_datasets_IISG_Images_sparql;http://localhost:8080/schema-extractor-rest/v2/endpoint/buildFullSchema?calculateSubClassRelations=True&calculateMultipleInheritanceSuperclasses=True&calculatePropertyPropertyRelations=True&calculateSourceAndTargetPairs=True&calculateDomainsAndRanges=True&calculateImportanceIndexes=True&calculateClosedClassSets=False&calculateCardinalitiesMode=propertyLevelOnly&calculateDataTypes=propertyLevelOnly&sampleLimitForDataTypeCalculation=100000&checkInstanceNamespaces=False&addedLabels=rdfs%3Alabel&minimalAnalyzedClassSize=1&addIntersectionClasses=no&exactCountCalculations=no&excludedNamespaces=http%3A%2F%2Fwww.openlinksw.com%2Fschemas%2Fvirtrdf%23&maxInstanceLimitForExactCount=10000000&enableLogging=True&saveThisConfig=True&endpointUrl=https://api.druid.datalegend.net/datasets/IISG/Images/sparql;NULL
https://idsm.elixir-czech.cz/sparql/endpoint/chebi;10400;True;1;1;186474;186474;6;6;1118844;372948;1117182;https_idsm_elixir-czech_cz_sparql_endpoint_chebi;http://localhost:8080/schema-extractor-rest/v2/endpoint/buildFullSchema?calculateSubClassRelations=True&calculateMultipleInheritanceSuperclasses=True&calculatePropertyPropertyRelations=True&calculateSourceAndTargetPairs=True&calculateDomainsAndRanges=True&calculateImportanceIndexes=True&calculateClosedClassSets=False&calculateCardinalitiesMode=propertyLevelOnly&calculateDataTypes=propertyLevelOnly&sampleLimitForDataTypeCalculation=100000&checkInstanceNamespaces=False&addedLabels=rdfs%3Alabel&minimalAnalyzedClassSize=1&addIntersectionClasses=no&exactCountCalculations=no&excludedNamespaces=http%3A%2F%2Fwww.openlinksw.com%2Fschemas%2Fvirtrdf%23&maxInstanceLimitForExactCount=10000000&enableLogging=True&saveThisConfig=True&endpointUrl=https://idsm.elixir-czech.cz/sparql/endpoint/chebi;NULL
https://api.druid.datalegend.net/datasets/MiconSchorsij/thesaurus/sparql;15410;True;2;2;1156;4874;24;24;12454;3388;12454;https_api_druid_datalegend_net_datasets_MiconSchorsij_thesaurus_sparql;http://localhost:8080/schema-extractor-rest/v2/endpoint/buildFullSchema?calculateSubClassRelations=True&calculateMultipleInheritanceSuperclasses=True&calculatePropertyPropertyRelations=True&calculateSourceAndTargetPairs=True&calculateDomainsAndRanges=True&calculateImportanceIndexes=True&calculateClosedClassSets=False&calculateCardinalitiesMode=propertyLevelOnly&calculateDataTypes=propertyLevelOnly&sampleLimitForDataTypeCalculation=100000&checkInstanceNamespaces=False&addedLabels=rdfs%3Alabel&minimalAnalyzedClassSize=1&addIntersectionClasses=no&exactCountCalculations=no&excludedNamespaces=http%3A%2F%2Fwww.openlinksw.com%2Fschemas%2Fvirtrdf%23&maxInstanceLimitForExactCount=10000000&enableLogging=True&saveThisConfig=True&endpointUrl=https://api.druid.datalegend.net/datasets/MiconSchorsij/thesaurus/sparql;NULL
https://relate.racai.ro/datasets/simonero/query;71050;True;2;2;126494;263822;13;13;1396182;1005866;1396182;https_relate_racai_ro_datasets_simonero_query;http://localhost:8080/schema-extractor-rest/v2/endpoint/buildFullSchema?calculateSubClassRelations=True&calculateMultipleInheritanceSuperclasses=True&calculatePropertyPropertyRelations=True&calculateSourceAndTargetPairs=True&calculateDomainsAndRanges=True&calculateImportanceIndexes=True&calculateClosedClassSets=False&calculateCardinalitiesMode=propertyLevelOnly&calculateDataTypes=propertyLevelOnly&sampleLimitForDataTypeCalculation=100000&checkInstanceNamespaces=False&addedLabels=rdfs%3Alabel&minimalAnalyzedClassSize=1&addIntersectionClasses=no&exactCountCalculations=no&excludedNamespaces=http%3A%2F%2Fwww.openlinksw.com%2Fschemas%2Fvirtrdf%23&maxInstanceLimitForExactCount=10000000&enableLogging=True&saveThisConfig=True&endpointUrl=https://relate.racai.ro/datasets/simonero/query;NULL
https://relate.racai.ro/datasets/rolex/query;98420;True;3;3;378705;347391;17;17;2501217;1701208;2501217;https_relate_racai_ro_datasets_rolex_query;http://localhost:8080/schema-extractor-rest/v2/endpoint/buildFullSchema?calculateSubClassRelations=True&calculateMultipleInheritanceSuperclasses=True&calculatePropertyPropertyRelations=True&calculateSourceAndTargetPairs=True&calculateDomainsAndRanges=True&calculateImportanceIndexes=True&calculateClosedClassSets=False&calculateCardinalitiesMode=propertyLevelOnly&calculateDataTypes=propertyLevelOnly&sampleLimitForDataTypeCalculation=100000&checkInstanceNamespaces=False&addedLabels=rdfs%3Alabel&minimalAnalyzedClassSize=1&addIntersectionClasses=no&exactCountCalculations=no&excludedNamespaces=http%3A%2F%2Fwww.openlinksw.com%2Fschemas%2Fvirtrdf%23&maxInstanceLimitForExactCount=10000000&enableLogging=True&saveThisConfig=True&endpointUrl=https://relate.racai.ro/datasets/rolex/query;NULL
https://zbw.eu/beta/sparql/stwv/query;6500;True;4;4;73;72;7;7;218;2;218;https_zbw_eu_beta_sparql_stwv_query;http://localhost:8080/schema-extractor-rest/v2/endpoint/buildFullSchema?calculateSubClassRelations=True&calculateMultipleInheritanceSuperclasses=True&calculatePropertyPropertyRelations=True&calculateSourceAndTargetPairs=True&calculateDomainsAndRanges=True&calculateImportanceIndexes=True&calculateClosedClassSets=False&calculateCardinalitiesMode=propertyLevelOnly&calculateDataTypes=propertyLevelOnly&sampleLimitForDataTypeCalculation=100000&checkInstanceNamespaces=False&addedLabels=rdfs%3Alabel&minimalAnalyzedClassSize=1&addIntersectionClasses=no&exactCountCalculations=no&excludedNamespaces=http%3A%2F%2Fwww.openlinksw.com%2Fschemas%2Fvirtrdf%23&maxInstanceLimitForExactCount=10000000&enableLogging=True&saveThisConfig=True&endpointUrl=https://zbw.eu/beta/sparql/stwv/query;NULL
https://api.druid.datalegend.net/datasets/AdamNet/Geography/sparql;19180;True;4;4;16342;470;22;22;153975;81479;153975;https_api_druid_datalegend_net_datasets_AdamNet_Geography_sparql;http://localhost:8080/schema-extractor-rest/v2/endpoint/buildFullSchema?calculateSubClassRelations=True&calculateMultipleInheritanceSuperclasses=True&calculatePropertyPropertyRelations=True&calculateSourceAndTargetPairs=True&calculateDomainsAndRanges=True&calculateImportanceIndexes=True&calculateClosedClassSets=False&calculateCardinalitiesMode=propertyLevelOnly&calculateDataTypes=propertyLevelOnly&sampleLimitForDataTypeCalculation=100000&checkInstanceNamespaces=False&addedLabels=rdfs%3Alabel&minimalAnalyzedClassSize=1&addIntersectionClasses=no&exactCountCalculations=no&excludedNamespaces=http%3A%2F%2Fwww.openlinksw.com%2Fschemas%2Fvirtrdf%23&maxInstanceLimitForExactCount=10000000&enableLogging=True&saveThisConfig=True&endpointUrl=https://api.druid.datalegend.net/datasets/AdamNet/Geography/sparql;NULL
https://api.druid.datalegend.net/datasets/ESTA-DEMO/esta-demo-viz/sparql;31680;True;4;4;8;6;59;59;937;702;937;https_api_druid_datalegend_net_datasets_ESTA-DEMO_esta-demo-viz_sparql;http://localhost:8080/schema-extractor-rest/v2/endpoint/buildFullSchema?calculateSubClassRelations=True&calculateMultipleInheritanceSuperclasses=True&calculatePropertyPropertyRelations=True&calculateSourceAndTargetPairs=True&calculateDomainsAndRanges=True&calculateImportanceIndexes=True&calculateClosedClassSets=False&calculateCardinalitiesMode=propertyLevelOnly&calculateDataTypes=propertyLevelOnly&sampleLimitForDataTypeCalculation=100000&checkInstanceNamespaces=False&addedLabels=rdfs%3Alabel&minimalAnalyzedClassSize=1&addIntersectionClasses=no&exactCountCalculations=no&excludedNamespaces=http%3A%2F%2Fwww.openlinksw.com%2Fschemas%2Fvirtrdf%23&maxInstanceLimitForExactCount=10000000&enableLogging=True&saveThisConfig=True&endpointUrl=https://api.druid.datalegend.net/datasets/ESTA-DEMO/esta-demo-viz/sparql;NULL
